longitude,latitude,SAUID,SAFIELD000,SAFIELD001,SAFIELD002,SAFIELD003,SAFIELD004,SAFIELD005,SAFIELD006,SAFIELD007,SAFIELD008,SAFIELD009
138.8857819,37.7457205,752,E010A,街区三角点,193782.527,33997.505,5.354,38.606,0.999914,374444.5939,1385308.815, 
138.8918549,37.7509858,754,E008A,街区三角点,194369.104,34530.255,4.283,38.59,0.999915,374503.5491,1385330.6779, 
138.8793243,37.751929,755,E007A,街区三角点,194469.22,33425.623,4.851,38.58,0.999914,374506.9443,1385245.5675, 
138.9002731,37.7503931,753,E009A,街区三角点,194306.466,35272.344,2.664,38.596,0.999915,374501.4154,1385400.9831, 
138.8816339,37.757047,756,E006A,街区三角点,195038.069,33626.839,4.985,38.561,0.999914,374525.3697,1385253.8825, 
138.8737357,37.7585622,757,E005A,街区三角点,195203.409,32930.222,6.876,38.552,0.999913,374530.8241,1385225.4486, 
138.88885,37.7609579,758,E004A,街区三角点,195474.713,34260.864,3.747,38.55,0.999914,374539.4485,1385319.8603, 
138.8787677,37.7645409,759,E003A,街区三角点,195868.712,33370.912,6.962,38.532,0.999914,374552.3472,1385243.5638, 
138.882589,37.771818,761,E001A,街区三角点,196677.71,33704.285,6.988,38.508,0.999914,374618.5449,1385257.3206, 
138.8942131,37.7667856,760,E002A,街区三角点,196123.456,34730.67,3.278,38.53,0.999915,374600.4282,1385339.1673, 
138.9120602,37.7901034,762,C003A,街区三角点,198718.087,36291.626,3.562,38.468,0.999916,374724.3723,1385443.4168, 
138.9103424,37.8000951,763,C002A,街区三角点,199826.324,36135.467,3.468,38.436,0.999916,374800.3425,1385437.2328, 
139.1239021,37.7769721,632,6034A,街区三角点,197364.108,54959.189,12.191,39.151,0.999937,374637.0999,1390726.048, 
139.1167925,37.7782078,633,6033A,街区三角点,197497.081,54331.991,7.452,39.112,0.999936,374641.548,1390700.4532, 
139.1503805,37.781035,634,6032A,街区三角点,197830.904,57288.53,9.055,39.253,0.99994,374651.7261,1390901.3697, 
139.127105,37.7827908,635,6031A,街区三角点,198011.764,55236.999,37.988,39.132,0.999938,374658.047,1390737.5783, 
139.1183677,37.7854468,636,6030A,街区三角点,198301.41,54465.437,6.934,39.078,0.999937,374707.6086,1390706.124, 
139.1397676,37.7861692,637,6029A,街区三角点,198394.26,56349.798,53.928,39.174,0.999939,374710.2091,1390823.1636, 
139.1025143,37.7915214,638,6028A,街区三角点,198966.475,53064.72,4.355,38.975,0.999935,374729.4773,1390609.0516, 
139.1390005,37.7923131,639,6027A,街区三角点,199075.676,56277.578,8.292,39.137,0.999939,374732.3275,1390820.4023,撤去及び亡失
139.1082296,37.7982511,640,6026A,街区三角点,199716.611,53563.224,4.056,38.966,0.999935,374753.704,1390629.6267, 
139.1368956,37.8001826,641,6025A,街区三角点,199947.791,56086.239,11.429,39.085,0.999939,374800.6576,1390812.8244, 
138.9140061,37.843808,715,4062A,街区三角点,204679.128,36436.601,15.071,38.3,0.999916,375037.7091,1385450.4221, 
138.9050467,37.8458631,716,4061A,街区三角点,204903.747,35647.092,7.505,38.29,0.999916,375045.1073,1385418.1681, 
138.9168893,37.8045489,764,C001A,街区三角点,200323.17,36709.792,2.038,38.428,0.999917,374816.3762,1385500.8015, 
139.0185505,37.8389107,728,3068A,街区三角点,204181.543,45640.619,1.46,38.48,0.999926,375020.0786,1390106.7823, 
139.0096658,37.8428661,729,3067A,街区三角点,204616.229,44856.218,1.46,38.45,0.999925,375034.3183,1390034.7971, 
139.0182834,37.8454995,730,3066A,街区三角点,204912.669,45613.047,12.98,38.46,0.999926,375043.7986,1390105.8206, 
139.1458048,37.8022311,642,6024A,街区三角点,200180.523,56869.237,6.245,39.116,0.99994,374808.0321,1390844.8975, 
139.1423921,37.8063444,643,6023A,街区三角点,200634.957,56565.574,6.596,39.079,0.999939,374822.8399,1390832.6117, 
139.1195883,37.8068275,644,6022A,街区三角点,200675.023,54557.229,5.205,38.974,0.999937,374824.5793,1390710.5184, 
139.126474,37.8100413,645,6021A,街区三角点,201035.73,55161.144,9.333,38.988,0.999937,374836.1485,1390735.3064, 
139.1122499,37.8101582,646,6020A,街区三角点,201040.411,53908.617,3.781,38.926,0.999936,374836.5696,1390644.0998, 
139.1208857,37.8151105,647,6019A,街区三角点,201595.053,54665.355,8.578,38.939,0.999937,374854.3979,1390715.1887, 
139.1194441,37.8215691,648,6018A,街区三角点,202311.014,54533.675,7.078,38.904,0.999937,374917.6491,1390709.9989, 
139.1061978,37.8290502,649,6017A,街区三角点,203133.637,53362.122,2.476,38.815,0.999935,374944.5808,1390622.3123, 
139.1140179,37.8403879,650,6016A,街区三角点,204396.435,54042.245,9.762,38.8,0.999936,375025.3965,1390650.4648, 
138.9450291,37.8605349,666,4050A,街区三角点,206548.099,39158.095,2.202,38.28,0.999919,375137.9261,1385642.1049, 
138.9310224,37.8608423,667,4049A,街区三角点,206576.424,37925.486,10.685,38.27,0.999918,375139.0324,1385551.6809, 
138.9562865,37.860825,668,4048A,街区三角点,206585.068,40148.483,4.046,38.29,0.99992,375138.9701,1385722.6316, 
138.9235903,37.8621121,669,4047A,街区三角点,206714.357,37270.891,12.134,38.25,0.999917,375143.6037,1385524.9251, 
138.9462683,37.8638502,670,4046A,街区三角点,206916.556,39265.378,3.752,38.27,0.999919,375149.8609,1385646.5662, 
138.958485,37.8637716,671,4045A,街区三角点,206913.046,40340.327,2.657,38.29,0.99992,375149.5781,1385730.5464, 
138.9419155,37.8653086,673,4042A,街区三角点,207076.596,38881.626,24.948,38.26,0.999919,375155.1113,1385630.8961, 
138.9373406,37.8669881,674,4041A,街区三角点,207261.093,38478.22,46.299,38.25,0.999918,375201.1573,1385614.4261, 
138.9465616,37.8674828,675,4040A,街区三角点,207319.836,39289.252,25.426,38.26,0.999919,375202.9382,1385647.6219, 
138.9261123,37.8681538,677,4038A,街区三角点,207385.898,37489.744,15.236,38.24,0.999917,375205.3538,1385534.0046, 
138.9552896,37.8690715,678,4037A,街区三角点,207499.869,40056.305,10.08,38.27,0.99992,375208.6576,1385719.0429, 
138.9339223,37.8705161,681,4034A,街区三角点,207651.244,38175.653,7.518,38.24,0.999918,375213.8583,1385602.1203, 
138.9406121,37.871074,682,4033A,街区三角点,207715.917,38763.929,7.772,38.25,0.999919,375215.8666,1385626.204, 
138.9452552,37.8745035,684,4031A,街区三角点,208098.479,39170.597,10.099,38.24,0.999919,375228.213,1385642.919, 
138.9559532,37.8744241,685,4030A,街区三角点,208094.205,40111.787,19.165,38.25,0.99992,375227.9269,1385721.4319, 
138.95461,37.8786048,689,4026A,街区三角点,208557.615,39991.35,4.374,38.24,0.99992,375242.9773,1385716.5959, 
138.9256909,37.8491994,717,4060A,街区三角点,205282.106,37462.251,2.609,38.29,0.999917,375057.1181,1385532.4871, 
138.9297119,37.8496073,718,4059A,街区三角点,205328.995,37815.917,1.993,38.3,0.999918,375058.5865,1385546.9632, 
