longitude,latitude,SAUID,SAFIELD000,SAFIELD001,SAFIELD002,SAFIELD003,SAFIELD004,SAFIELD005,SAFIELD006,SAFIELD007,SAFIELD008,SAFIELD009
138.8907612,37.7453347,366,E507A,街区三角点節点,193741.539,34436.493,3.944,38.61,0.999915,374443.2053,1385326.7404, 
138.8940354,37.7512491,367,E506A,街区三角点節点,194399.12,34722.275,3.435,38.59,0.999915,374504.4966,1385338.5276, 
138.8855022,37.7716026,372,E501A,街区三角点節点,196654.855,33961.027,4.39,38.51,0.999914,374617.7694,1385307.8083,撤去及び亡失
138.8767517,37.7576741,368,E505A,街区三角点節点,195105.911,33196.369,4.688,38.557,0.999914,374527.6269,1385236.3064, 
138.8907749,37.7602862,369,E504A,街区三角点節点,195400.877,34430.773,3.376,38.553,0.999915,374537.0305,1385326.7898, 
138.8776718,37.762834,370,E503A,街区三角点節点,195678.892,33275.127,7.033,38.538,0.999914,374546.2025,1385239.6187, 
138.8983495,37.7666969,371,E502A,街区三角点節点,196115.159,35095.131,1.761,38.532,0.999915,374600.109,1385354.0582, 
138.9083527,37.7898386,373,C503A,街区三角点節点,198687.26,35965.228,6.501,38.466,0.999916,374723.4188,1385430.0702, 
138.9143827,37.7902917,374,C502A,街区三角点節点,198739.896,36496.087,4.579,38.47,0.999916,374725.0504,1385451.7779, 
138.9053485,37.7920248,375,C501A,街区三角点節点,198928.748,35699.575,5.819,38.457,0.999916,374731.2895,1385419.2547, 
139.0185655,37.8351241,272,3511A,街区三角点節点,203761.301,45644.265,0.75,38.49,0.999926,375006.4469,1390106.836, 
138.9228644,37.8540762,262,4510A,街区三角点節点,205822.212,37211.062,3.953,38.28,0.999917,375114.6743,1385522.312, 
138.9354768,37.860885,263,4509A,街区三角点節点,206582.984,38317.409,25.689,38.27,0.999918,375139.1862,1385607.7168, 
138.9268353,37.8622892,264,4508A,街区三角点節点,206735.311,37556.328,5.824,38.26,0.999917,375144.2412,1385536.6073, 
138.9482045,37.8716753,266,4506A,街区三角点節点,207785.836,39431.568,21.334,38.25,0.999919,375218.0314,1385653.5365, 
138.9797054,37.8685759,265,4507A,街区三角点節点,207455.629,42204.694,0.005,38.3,0.999922,375206.8736,1385846.9396, 
138.992813,37.879318,267,4505A,街区三角点節点,208653.835,43351.611,2.549,38.29,0.999923,375245.545,1385934.1267, 
138.972948,37.8809666,268,4504A,街区三角点節点,208827.758,41603.209,28.148,38.26,0.999921,375251.4799,1385822.6132, 
138.9632784,37.8861968,269,4503A,街区三角点節点,209403.954,40749.722,7.749,38.23,0.99992,375310.3084,1385747.8024, 
139.0093406,37.8541814,273,3510A,街区三角点節点,205871.885,44820.74,0.04,38.41,0.999925,375115.0533,1390033.6261, 
139.0115884,37.8810814,283,2540A,街区三角点節点,208858.431,45002.188,1.5,38.33,0.999925,375251.8932,1390041.7186, 
139.0211924,37.8892797,284,2539A,街区三角点節点,209772.998,45841.924,-0.4,38.32,0.999926,375321.4073,1390116.2926, 
139.0144258,37.8897774,285,2538A,街区三角点節点,209824.922,45246.452,4.91,38.31,0.999925,375323.1987,1390051.9328, 
139.0889981,37.8760667,259,A503A,街区三角点節点,208342.037,51815.141,0.655,38.565,0.999933,375233.8403,1390520.3933, 
139.092155,37.8679676,381,A508A,街区三角点節点,207444.928,52098.561,0.546,38.605,0.999933,375204.6838,1390531.758, 
139.1143226,37.8741759,257,A504A,街区三角点節点,208146.553,54044.384,1.103,38.666,0.999936,375227.0335,1390651.5616, 
139.0998062,37.8827461,260,A502A,街区三角点節点,209089.404,52761.19,-0.533,38.578,0.999934,375257.8862,1390559.3024, 
139.1096873,37.882874,261,A501A,街区三角点節点,209109.234,53630.287,0.03,38.615,0.999935,375258.3466,1390634.8745, 
139.1173057,37.8596619,376,A513A,街区三角点節点,206537.451,54317.477,3.559,38.734,0.999936,375134.7829,1390702.3008, 
139.0994581,37.8605744,377,A512A,街区三角点節点,206628.495,52746.37,1.075,38.66,0.999934,375138.0681,1390558.049, 
139.1180662,37.8610064,378,A511A,街区三角点節点,206687.114,54383.406,2.431,38.732,0.999936,375139.6232,1390705.0386, 
139.1175,37.8629861,379,A510A,街区三角点節点,206906.506,54332.139,2.444,38.722,0.999936,375146.7503,1390703.0005, 
139.1035352,37.8650649,380,A509A,街区三角点節点,207129.178,53101.908,1.455,38.658,0.999935,375154.2338,1390612.7271, 
139.1156277,37.8689728,382,A507A,街区三角点節点,207569.849,54163,1.68,38.691,0.999936,375208.3024,1390656.2595, 
139.1215819,37.8695549,383,A506A,街区三角点節点,207637.91,54686.432,2.275,38.712,0.999937,375210.3975,1390717.6949, 
139.0985659,37.870317,384,A505A,街区三角点節点,207709.265,52660.937,0.442,38.619,0.999934,375213.1414,1390554.8374, 
139.0157423,37.893417,258,2537A,街区三角点節点,210229.508,45360.013,3.8,38.3,0.999925,375336.3016,1390056.6722,撤去及び亡失
138.9859782,37.8947044,270,4502A,街区三角点節点,210358.329,42741.47,11.488,38.24,0.999923,375340.936,1385909.5214, 
139.0033987,37.9070049,271,4501A,街区三角点節点,211731.618,44266.241,7.301,38.24,0.999924,375425.2178,1390012.2355, 
139.0237932,37.8979644,287,2535A,街区三角点節点,210738.134,46065.275,-0.05,38.3,0.999926,375352.6719,1390125.6558, 
139.0067741,37.9002657,288,2534A,街区三角点節点,210985.276,44567.122,15.16,38.26,0.999924,375400.9566,1390024.3869, 
139.0270737,37.902364,290,2532A,街区三角点節点,211228.051,46351.024,0.2,38.3,0.999926,375408.5105,1390137.4656, 
139.0228468,37.9098989,293,2529A,街区三角点節点,212062.213,45974.614,0.39,38.27,0.999926,375435.636,1390122.2486, 
139.0204888,37.9124617,296,2526A,街区三角点節点,212345.498,45765.686,5.71,38.26,0.999926,375444.8625,1390113.76, 
139.0161128,37.9167178,297,2525A,街区三角点節点,212815.717,45378.299,6.7,38.24,0.999925,375500.1843,1390058.0065, 
139.0268114,37.9224205,302,2520A,街区三角点節点,213453.897,46315.371,7.2,38.25,0.999926,375520.7142,1390136.5209,撤去及び亡失
139.0425739,37.896498,275,3508A,街区三角点節点,210584.834,47717.916,-0.05,38.35,0.999928,375347.393,1390233.2665, 
139.0405842,37.8967882,276,3507A,街区三角点節点,210616.024,47542.739,-0.52,38.35,0.999928,375348.4377,1390226.1035, 
139.092537,37.8984541,277,3506A,街区三角点節点,210828.661,52110.685,1,38.5,0.999933,375354.4347,1390533.1333, 
139.0763132,37.9004483,278,3505A,街区三角点節点,211041.059,50682.5,0.38,38.44,0.999932,375401.6142,1390434.7275, 
139.0955358,37.901174,279,3504A,街区三角点節点,211132.211,52372.499,0.38,38.5,0.999934,375404.2264,1390543.9293, 
139.0842671,37.9037906,281,3502A,街区三角点節点,211416.348,51379.673,0.09,38.46,0.999933,375413.6463,1390503.3617, 
139.0747034,37.9139083,282,3501A,街区三角点節点,212534.038,50531.728,0.62,38.39,0.999931,375450.0701,1390428.9324, 
