longitude,latitude,SAUID,SAFIELD000,SAFIELD001,SAFIELD002,SAFIELD003,SAFIELD004,SAFIELD005
138.8848439,37.7481029,18874,FA142,補助点,194046.581,33913.752,7.169,撤去及び亡失
138.8862669,37.7544418,18875,FA141,補助点,194750.605,34036.25,4.47, 
138.8859493,37.7486993,20106,FA113,補助点,194113.179,34010.897,6.836, 
138.8853606,37.748991,20107,FA112,補助点,194145.344,33958.889,6.74, 
138.8845048,37.7483187,20108,FA111,補助点,194070.419,33883.777,5.327, 
138.8850232,37.7492645,20109,FA110,補助点,194175.578,33929.028,5.277, 
138.8833338,37.7497972,20110,FA109,補助点,194234.077,33779.912,5.039, 
138.8842162,37.7517555,20111,FA108,補助点,194451.736,33856.774,5.103, 
138.8836066,37.7519966,20112,FA107,補助点,194478.27,33802.959,5.083, 
138.8853739,37.7565068,18877,FA139,補助点,194979.459,33956.628,5.133, 
138.8858302,37.7564754,18878,FA138,補助点,194976.139,33996.845,4.468, 
138.8824992,37.752607,18881,FA135,補助点,194545.615,33705.097,4.8, 
138.8826281,37.7537349,18882,FA134,補助点,194670.833,33715.933,4.899, 
138.8867081,37.7507285,20113,FA106,補助点,194338.658,34076.83,7.129, 
138.8873823,37.7505931,20114,FA105,補助点,194323.879,34136.306,5.826, 
138.8860814,37.750793,20115,FA104,補助点,194345.593,34021.577,7.176, 
138.8854337,37.7513967,20116,FA103,補助点,194412.356,33964.225,5.081, 
138.885604,37.7517597,20117,FA102,補助点,194452.706,33979.063,6.687, 
138.885538,37.7521622,20118,FA101,補助点,194497.349,33973.065,6.845, 
138.8844948,37.7536288,20119,FA100,補助点,194659.739,33880.471,6.259, 
138.8843349,37.7539959,20120,FA099,補助点,194700.418,33866.213,6.867, 
138.8847242,37.7553641,20129,FA090,補助点,194852.406,33899.899,7.281, 
138.8842456,37.7564309,20130,FA089,補助点,194970.62,33857.23,6.95, 
138.8863999,37.7533285,20134,FA085,補助点,194627.095,34048.487,5.074, 
