longitude,latitude,SAUID,SAFIELD000,SAFIELD001,SAFIELD002,SAFIELD003,SAFIELD004,SAFIELD005,SAFIELD006
138.8816422,37.7524098,4276,E0A44,街区多角点,194523.424,33629.666,4.955,38.579, 
138.8841642,37.7528988,4277,E0A43,街区多角点,194578.599,33851.677,5.129,38.578, 
138.8862109,37.7530034,4278,E0A42,街区多角点,194590.951,34031.97,6.248,38.579, 
138.888104,37.7534402,4279,E0A41,街区多角点,194640.114,34198.593,4.419,38.578, 
138.8918313,37.7533713,4280,E0A40,街区多角点,194633.836,34527.061,4.059,38.58, 
138.8820499,37.7555478,4282,E0A38,街区多角点,194871.821,33664.169,4.884,38.567, 
138.8845066,37.755951,4283,E0A37,街区多角点,194917.469,33880.455,6.729,38.567, 
138.886991,37.7559605,4284,E0A36,街区多角点,194919.411,34099.367,4.31,38.568, 
138.88899,37.7557727,4285,E0A35,街区多角点,194899.307,34275.582,3.8,38.57, 
138.8917403,37.7554267,4286,E0A34,街区多角点,194861.911,34518.093,3.59,38.572, 
138.8826559,37.7488964,4585,E0A50,街区多角点,194133.866,33720.589,4.725,38.593, 
138.8822067,37.7506889,4586,E0A49,街区多角点,194332.631,33680.186,4.649,38.586, 
138.8870852,37.7490553,4587,E0A48,街区多角点,194153.107,34110.838,5.828,38.594, 
138.8874891,37.7508037,4588,E0A47,街区多角点,194347.291,34145.624,5.844,38.588, 
138.8984189,37.7502167,4275,E0A45,街区多角点,194286.184,35109.031,2.916,38.596, 
138.8943196,37.754775,4287,E0A33,街区多角点,194790.54,34745.678,3.159,38.576, 
138.8958398,37.7534198,4288,E0A32,街区多角点,194640.702,34880.26,2.993,38.582, 
138.899297,37.7536522,4289,E0A31,街区多角点,194667.791,35184.796,2.763,38.583, 
138.8950164,37.751348,4439,E0A46,街区多角点,194410.475,34808.675,3.256,38.59, 
138.878263,37.757111,4281,E0A39,街区多角点,195043.952,33329.789,6.103,38.559, 
138.8777708,37.7593854,4290,E0A30,街区多角点,195296.19,33285.394,7.151,38.551, 
138.882095,37.7599898,4291,E0A29,街区多角点,195364.82,33666.128,6.537,38.55, 
138.8847227,37.758415,4292,E0A28,街区多角点,195190.993,33898.375,5.19,38.558, 
138.8872836,37.7578803,4293,E0A27,街区多角点,195132.582,34124.267,3.848,38.561, 
138.8919018,37.7574735,4294,E0A26,街区多角点,195089.131,34531.38,2.745,38.565, 
138.8776478,37.7626865,4296,E0A24,街区多角点,195662.519,33273.073,7.314,38.538, 
138.8805488,37.7620077,4297,E0A23,街区多角点,195588.218,33528.984,6.101,38.542, 
138.8828388,37.7615274,4298,E0A22,街区多角点,195535.73,33730.969,7.779,38.545, 
138.885675,37.7609451,4299,E0A21,街区多角点,195472.131,33981.121,5.034,38.548, 
