longitude,latitude,SAUID,SAFIELD000,SAFIELD001,SAFIELD002,SAFIELD003,SAFIELD004,SAFIELD005,SAFIELD006
138.8896913,37.7509795,4053,EA090,街区多角点節点,194367.608,34339.598,4.737,38.588, 
138.8909115,37.7508936,4054,EA089,街区多角点節点,194358.529,34447.168,4.195,38.589, 
138.8840354,37.7470229,4064,EA105,街区多角点節点,193926.437,33843.006,7.008,38.6, 
138.8869828,37.7456152,4065,EA104,街区多角点節点,193771.272,34103.389,4.853,38.607, 
138.8873179,37.7476755,4066,EA103,街区多角点節点,194000.055,34131.978,5.066,38.6, 
138.8866286,37.7477187,4067,EA102,街区多角点節点,194004.595,34071.201,5.135,38.599, 
138.8863603,37.7491787,4068,EA101,街区多角点節点,194166.531,34046.897,8.104,38.594, 
138.8855623,37.749325,4069,EA100,街区多角点節点,194182.489,33976.501,6.787,38.593, 
138.8859667,37.7500435,4070,EA099,街区多角点節点,194262.364,34011.817,7.097,38.59, 
138.8840531,37.7507325,4071,EA098,街区多角点節点,194338.13,33842.878,5.034,38.587, 
138.8818919,37.751409,4072,EA097,街区多角点節点,194412.444,33652.118,4.84,38.583, 
138.8873158,37.7496332,4073,EA096,街区多角点節点,194217.324,34130.881,5.833,38.592, 
138.8871836,37.7517776,4074,EA095,街区多角点節点,194455.26,34118.255,6.287,38.584, 
138.8867166,37.7524382,4075,EA094,街区多角点節点,194528.408,34076.791,6.28,38.581, 
138.8884591,37.7501167,4076,EA092,街区多角点節点,194271.402,34231.413,4.935,38.591, 
138.8885621,37.7506561,4077,EA091,街区多角点節点,194331.305,34240.246,5.008,38.589, 
138.891698,37.7523764,4131,EA079,街区多角点節点,194523.373,34515.78,4.363,38.584, 
138.8918918,37.7547708,4132,EA078,街区多角点節点,194789.177,34531.741,3.635,38.575, 
138.8834284,37.7557839,4134,EA075,街区多角点節点,194898.528,33785.525,6.872,38.567, 
138.8854192,37.7559306,4135,EA074,街区多角点節点,194915.526,33960.878,5.482,38.567, 
138.8863643,37.7560157,4136,EA073,街区多角点節点,194925.315,34044.119,4.531,38.568, 
138.8877667,37.7560259,4137,EA072,街区多角点節点,194926.958,34167.686,4.101,38.568, 
138.8884088,37.7559422,4138,EA071,街区多角点節点,194917.905,34224.298,3.837,38.569, 
138.8898427,37.7555057,4139,EA070,街区多角点節点,194869.986,34350.846,3.767,38.571, 
138.8909813,37.7555653,4140,EA069,街区多角点節点,194877.014,34451.147,3.569,38.572, 
138.8936334,37.755191,4141,EA068,街区多角点節点,194836.456,34685.019,3.295,38.574, 
138.8851598,37.7460117,5888,EA106,街区多角点節点,193814.624,33942.558,7.441,38.605, 
138.8934621,37.7511516,4357,EA088,街区多角点節点,194388.094,34671.8,3.564,38.59, 
138.8829909,37.7526847,4359,EA086,街区多角点節点,194554.413,33748.383,4.864,38.579, 
138.8835599,37.7528241,4360,EA085,街区多角点節点,194570.093,33798.451,4.92,38.578, 
138.8849743,37.7526391,4361,EA084,街区多角点節点,194550.072,33923.173,5.549,38.58, 
